# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2026-03-06 16:11:24.837
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.016381,0.3939,-0.0193,-0.1343,0.42
0.021636,0.4912,-0.0850,-0.0193,0.50
0.031490,0.4026,-0.0001,0.1523,0.43
0.043836,0.1122,0.2010,0.1377,0.27
0.053800,0.0894,0.2672,-0.0401,0.28
0.063461,0.2425,0.3165,-0.2091,0.45
0.074018,0.2103,0.2350,-0.2970,0.43
0.083846,0.1714,0.1876,-0.2948,0.39
0.095972,0.1848,0.1945,-0.2405,0.36
0.106247,0.1541,0.2080,-0.1916,0.32
0.116143,0.0908,0.2100,-0.1684,0.28
0.127230,0.0402,0.2105,-0.1491,0.26
0.138070,-0.0955,0.1739,-0.1326,0.24
0.148808,-0.2444,0.1037,-0.0197,0.27
0.159602,-0.3710,0.0348,0.1069,0.39
0.172681,-0.4198,-0.0367,0.1746,0.46
0.181477,-0.4201,-0.0672,0.2463,0.49
0.192842,-1.0074,-0.1998,0.1953,1.05
0.204603,-1.5999,-0.0594,0.2582,1.62
0.213962,-2.0418,0.0147,0.0567,2.04
0.224812,-1.2051,-0.1911,0.3216,1.26
0.235476,0.2958,-0.4412,0.6802,0.86
0.247649,2.0103,-0.2380,1.2130,2.36
0.260444,1.0976,-0.3841,1.1336,1.62
0.271214,0.4908,-0.3786,0.7301,0.96
0.280879,-0.0486,0.0326,0.3812,0.39
0.292511,-0.7535,0.3071,0.2134,0.84
0.304617,-1.3244,0.3979,0.3109,1.42
0.312381,-1.4068,0.3736,0.5539,1.56
0.322357,-0.6846,0.1921,0.5807,0.92
0.334212,0.0906,0.0194,0.5789,0.59
0.346871,0.4891,-0.0711,0.6006,0.78
0.354625,0.6980,-0.0859,0.6700,0.97
0.365840,0.6271,-0.0681,0.7022,0.94
0.376626,0.2701,0.0133,0.6320,0.69
0.389152,-0.1789,0.2113,0.5135,0.58
0.399243,-0.5674,0.4767,0.3112,0.80
0.409156,-0.7428,0.6369,0.2354,1.01
0.422121,-0.6855,0.6727,0.1864,0.98
0.431790,-0.4426,0.6551,0.1644,0.81
0.441329,-0.0401,0.5719,0.1217,0.59
0.456098,0.2655,0.4256,0.0479,0.50
0.465765,0.5146,0.2598,-0.0790,0.58
0.474233,1.0373,0.5250,-0.1963,1.18
