# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2026-03-06 16:05:56.465
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006925,0.7761,-0.8778,-0.0279,1.17
0.015156,0.8299,-0.9270,0.1245,1.25
0.026089,0.6584,-0.7243,0.0740,0.98
0.036287,0.2676,-0.7014,-0.0791,0.75
0.057062,0.2834,-0.9311,-0.0620,0.98
0.064807,0.4592,-1.2040,0.0057,1.29
0.073247,0.6633,-1.3266,0.0703,1.48
0.081201,0.8429,-1.3964,0.0413,1.63
0.090785,0.8172,-1.4337,-0.0051,1.65
0.101791,0.7298,-1.2530,-0.1147,1.45
0.116827,0.7469,-0.9581,-0.2110,1.23
0.124580,0.8378,-0.7425,-0.3159,1.16
0.134457,0.8672,-0.6718,-0.3959,1.17
0.153765,0.8173,-0.5776,-0.5112,1.12
0.168895,0.9985,-0.5051,-0.4653,1.21
0.178445,1.0241,-0.5282,-0.4547,1.24
0.188298,0.7901,-0.3971,-0.4296,0.98
0.201751,0.5000,-0.3000,-0.4269,0.72
0.211332,0.3392,-0.2263,-0.4283,0.59
0.229141,-0.0176,-0.0959,-0.4356,0.45
0.231358,-0.4079,-0.0145,-0.4637,0.62
0.248732,-0.3816,-0.0388,-0.5048,0.63
0.256321,-0.3727,-0.2192,-0.5869,0.73
0.264586,-0.3243,-0.1982,-0.7247,0.82
0.282775,-0.3798,-0.2444,-0.9314,1.04
0.287527,-0.2483,-0.2851,-1.0013,1.07
0.296170,0.0665,-0.2321,-0.9638,0.99
0.310990,0.1675,-0.3447,-0.9533,1.03
0.318117,0.0731,-0.3998,-0.8452,0.94
0.328992,0.1706,-0.3237,-0.7917,0.87
0.345347,0.2414,-0.2185,-0.7470,0.81
0.361371,0.2988,0.0210,-0.6826,0.75
0.381791,0.1346,0.0454,-0.6630,0.68
0.390749,0.0796,0.2868,-0.6401,0.71
0.398284,0.0338,0.3928,-0.5928,0.71
0.405783,0.0968,0.3030,-0.5293,0.62
0.415632,0.3064,0.3243,-0.4600,0.64
0.426218,0.4140,0.3247,-0.5103,0.73
0.443522,0.4267,0.3782,-0.6190,0.84
0.451388,0.3956,0.4950,-0.6672,0.92
0.458952,0.4338,0.6753,-0.6607,1.04
0.477663,0.3583,0.7739,-0.6993,1.10
0.492115,0.2208,0.6454,-0.7622,1.02
0.502401,0.3481,0.6476,-0.7632,1.06
0.513742,0.2418,0.6350,-0.8865,1.12
0.523841,-0.0145,0.5482,-0.9621,1.11
0.535465,-0.1977,0.2860,-1.0684,1.12
0.552589,-0.2011,0.1273,-1.2242,1.25
0.558812,-0.3100,-0.0303,-1.3745,1.41
0.566896,-0.3026,-0.2931,-1.4761,1.53
0.583348,-0.4431,-0.5121,-1.6203,1.76
0.591141,-0.7229,-0.4485,-1.8407,2.03
0.599944,-1.1747,-0.3758,-2.2463,2.56
0.610462,-1.9891,-0.2839,-2.3659,3.10
0.625173,-1.6876,-0.0772,-2.7237,3.21
0.633785,-0.4496,-0.1062,-2.3049,2.35
